Fibre Radius in mm,Fibre Angle in Degrees,Fibre Youngs Modulus in N/mm^2,Buckling Load for first eigenmode in N,Buckling Load for second eigenmode in N,Buckling Load for third eigenmode in N
64.91404435332343,84.10395582452864,138146.85490707273,' 2254.1,' 2350.1,' 6552.9'

93.47586092986826,71.35451064578209,181581.1385861469,' 2993.1,' 3215.4,' 8823.7'

73.41579839556093,55.04914095990173,352779.90167610743,' 5718.7,' 5992.0,' 16613.'

92.64141470710612,64.75707333941986,667041.173142124,' 10563.,' 11341.,' 30690.'

53.83313197242133,1.580038631464833,438864.8978417316,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

99.1593822837884,15.303392114126481,305924.49023692077,' 4936.5,' 5365.3,' 14519.'

85.08327111174971,10.892547054191093,757783.8462444062,' 11947.,' 12832.,' 34786.'

89.41933116816733,1.2542899186203913,184767.48032832262,' 3036.7,' 3229.7,' 8897.1'

91.65374196275938,45.603703264542624,343037.02460203524,' 5541.2,' 5941.6,' 16180.'

66.6321062755784,0.8099560673774167,437495.65853427356,' 7021.4,' 7374.1,' 20514.'

94.67402265251867,37.04377494106883,237021.13722140028,' 3870.1,' 4166.9,' 11369.'

27.60430651351415,64.25496432401782,714910.1522335219,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

74.77456466523836,21.850430789987602,246612.53302449346,' 4007.7,' 4233.0,' 11710.'

70.14616353817134,51.41312225525406,304431.7388385736,' 4900.9,' 5152.7,' 14256.'

25.686961927317093,31.562150111539527,591464.1662429093,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

99.43618702894796,9.40084714689444,643721.3583334222,' 10152.,' 11112.,' 29642.'

78.39748974162333,37.605207110349646,721315.2602474223,' 11547.,' 12206.,' 33546.'

100.01768350955082,37.16000255665958,614348.1288721171,' 9661.9,' 10558.,' 28203.'

95.76449766775977,76.65938709673048,369722.03313980106,' 5938.8,' 6408.1,' 17385.'

29.248539161819654,84.77754673456546,751829.302988587,' 11990.,' 12643.,' 34902.'

123.5980492991574,40.445857349459104,329244.86854771944,' 18979.,' 51790.,' 87426.'

113.64570819859999,59.48597018403698,44467.86942712009,' 903.59,' 1007.9,' 2741.3'

41.611585646471454,30.356856354072683,654592.6877263703,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

101.5194047262596,15.4831782324553,495068.47099208634,' 7887.5,' 8587.1,' 23109.'

29.934998631120457,44.76032028427247,221113.42163019837,' 3557.9,' 3745.3,' 10360.'

86.07042192624262,39.56156184326756,796526.0842143361,' 12527.,' 13478.,' 36361.'

64.40348142644982,41.2378685022904,551708.16539306,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

79.02172368938952,58.58002130498343,765306.5897150806,' 12171.,' 12953.,' 35405.'

59.59829668112889,67.830490455553,507187.35136456025,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

36.878306371200566,62.40287259052274,668677.5888633945,' 10676.,' 11284.,' 31096.'

79.74066319438796,79.08824179289846,370348.8874752977,' 5978.8,' 6343.5,' 17440.'

119.89011042838264,54.0824417828107,773087.6387200212,' 11637.,' 13519.,' 34318.'

124.87351246875764,27.41194931220332,166578.14197549943,' 10612.,' 28748.,' 49246.'

99.10250511704551,14.975854117294267,589883.5093626434,' 9357.6,' 10185.,' 27356.'

95.60008068320512,5.976935995596011,712029.3540021279,' 11238.,' 12190.,' 32574.'

42.39636361434775,11.64397794955341,386975.58045235433,' 6072.1,' 6188.3,' 17748.'

81.0075285179741,18.42837132551114,363014.2792129058,' 5795.4,' 6161.2,' 16884.'

63.89147448893682,33.499274480422734,433172.12799082237,' 6944.8,' 7292.4,' 20187.'

116.986503844714,70.68841572187641,94716.71114244295,' 1774.4,' 1999.0,' 5370.8'

103.44887466906648,52.24379645364015,529091.6316531843,' 8335.1,' 9167.0,' 24587.'

108.72404198703087,2.9530383837412404,799265.9743066767,' 12293.,' 13660.,' 36032.'

111.63940477008629,80.87224364679057,632461.2990402571,' 9643.4,' 10869.,' 28337.'

89.48318819739399,0.8227789425481385,565977.1441277586,' 8943.9,' 9566.7,' 26077.'

32.68979220691997,16.790915189899476,475189.4147290899,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

89.11598618703478,52.59165971063674,523512.4105996576,' 8284.0,' 8897.1,' 24150.'

84.65815671437606,7.833767160459349,647722.2751477514,' 10234.,' 10918.,' 29830.'

74.2472645620436,38.318846025327375,458573.42926150066,' 7426.7,' 7797.2,' 21628.'

112.68502010633317,5.939071053614653,466674.1948458726,' 7247.2,' 8178.2,' 21470.'

118.33732400794166,27.160468635423026,624490.7164222234,' 9495.9,' 10961.,' 28003.'

72.9014208657068,25.09616057838527,452761.81164218305,' 7293.4,' 7645.7,' 21138.'

95.47415836940267,58.98085457861072,792439.9223518115,' 12427.,' 13468.,' 36098.'

87.17868206505429,77.32234640973378,536095.5607553237,' 8509.7,' 9081.3,' 24838.'

25.59855929208362,48.42611579573647,645934.8854950295,' 10287.,' 10851.,' 30001.'

67.8673605571818,25.49066271965027,608735.8717676318,' 9796.3,' 10275.,' 28416.'

52.31365021893556,45.559630700945945,36216.27247749637,' 588.67,' 620.61,' 1731.7'

102.7937647624505,78.80464676532802,41312.7989319579,' 798.25,' 878.41,' 2411.2'

96.41928666962163,12.39157253079821,512272.32595362037,' 8165.4,' 8840.1,' 23807.'

108.03011158122074,23.350510033315576,660652.9589268302,' 10222.,' 11341.,' 29984.'

125.02687774618934,53.046153756351515,196396.2066549054,' 12130.,' 32644.,' 56202.'

38.67750694614718,20.56750933090457,109415.77207012543,' 1740.7,' 1834.8,' 5104.1'

34.114592323383846,4.8099729934946405,283224.70500967803,' 4198.1,' 4314.4,' 12323.'

47.82117410908705,62.13542611138587,61632.715830792135,' 993.95,' 1046.9,' 2911.4'

56.77425416361399,60.85256417034621,215848.23271844367,' 3485.9,' 3662.0,' 10127.'

124.75315241250804,54.948278258351614,376767.37794276106,' 20892.,' 57124.,' 97123.'

54.28323538727729,9.497192544119857,770824.6319272431,' 12352.,' 12995.,' 35964.'

88.01974792972229,76.62444377303869,378455.890232784,' 6069.8,' 6472.3,' 17784.'

99.8241101555382,58.19987180028353,389078.30978198076,' 6231.6,' 6777.2,' 18307.'

58.927905198645476,43.862001048578065,146775.31731558967,' 2377.7,' 2490.0,' 6954.6'

42.07013973705516,58.34782257331826,411232.0611561829,' 6543.9,' 6917.7,' 19117.'

46.909875302294985,35.95214062872505,446746.39775217685,' 7179.3,' 7547.7,' 20853.'

70.94283311959924,89.55358044768805,769029.478026866,' 12329.,' 12989.,' 35706.'

32.8639505220716,79.66596629633902,258584.67755153743,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

